Question 1,Reason 1,Question 2,Reason 2,Relative_difficulty
How do you define a recurrent neural network by computational graphs?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",What is teacher forcing in the context of RNN?,"[""Involves intricate mathematics"", ""Is about an obscure concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
How do you define a symmetric matrix?,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",how do you Define Hessian matrix.,"[""Involves intricate mathematics"", ""Is about a fundamental concept""]",Second question is more difficult
What is teacher forcing in the context of RNN?,"[""Involves intricate mathematics"", ""Is about an obscure concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What is the general principle of deep learning models?,"[""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
How unsupervised pretraining helped in natural language processing?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Why should we use deterministic approximate algorithms or Monte Carlo algorithms in machine learning?,"[""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept""]",They are equally difficult
What is a complete graph for an undirected graphical model?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",Why structured probabilistic models are called graphical models?,"[""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
What is the advantage of a deep Boltzmann machine over a fully connected Boltzmann machine?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is a disadvantage of the REINFORCE algorithm?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Second question is more difficult
What is d-separation for directed graphical models?,"[""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",What are the different categories of graphical models?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
What is the reason to use vector valued memory cells?,"[""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",What is a vector?,"[""Is about a fundamental concept""]",First question is more difficult
What are the different categories of graphical models?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",How cross-correlation is related to convolution ?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",Second question is more difficult
When SML is vulnerable to becoming inaccurate?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",When to use an undirected model?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Is about an obscure concept"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
How do you define a positve definite matrix?,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",What is singular value decomposition of a matrix A?,"[""Involves intricate mathematics"", ""Is about a fundamental concept""]",They are equally difficult
Why Poor condition number makes choosing a good step size difficult?,"[""Involves many prerequisite concepts"", ""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves very little or no mathematics"", ""Appears early in the book or is otherwise highlighted""]",How model capacity is related to overfitting ?,"[""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
Give an example of norm functions.,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Why do neural networks struggle to memorize facts whereas they excel at storing implicit knowledge?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Is about an obscure concept""]",Second question is more difficult
Define partition function,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Describe EM algorithm.,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",Second question is more difficult
How NTMs alleviate the problem of optimizing functions that produce exact integer addresses?,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",What is the core idea behind initial long short-term memory model?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",First question is more difficult
How do you define a positive semi-definite matrix?,"[""Is about a fundamental concept""]",What is second derivative.,"[""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
What does the direction of the arrow indicate in a directed graphical model?,"[""Involves very little or no mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",How to obtain a valid probability distribution from the unnormalized probability distribution?,"[""Involves intricate mathematics"", ""Appears early in the book or is otherwise highlighted"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
Why the bidirectional RNNs are called bidirectional?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",What is teacher forcing in the context of RNN?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
How to obtain a valid probability distribution from the unnormalized probability distribution?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Appears early in the book or is otherwise highlighted"", ""Involves very little or no mathematics""]",What is a complete graph for an undirected graphical model?,"[""Involves very little or no mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",First question is more difficult
What is an infinitely strong prior ?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Is about an obscure concept"", ""Appears early in the book or is otherwise highlighted""]",What is the advantage of deriving the cost function from maximum likelihood for deep neural networks?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
Why the intermediate layers in a feedforward neural network are called hidden layers?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",Why feedforward neural networks are called feedforward?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
Why does the Boltzmann machine become more powerful when not all variables are observed?,"[""Appears early in the book or is otherwise highlighted"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",How can we determine whether the Markov chain has mixed or not?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
What is the RNN-RBM model?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",When do we use Monte Carlo sampling?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
How do you define orthonormality between two vectors?,"[""Is about a fundamental concept""]",What is the reason to use vector valued memory cells?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Second question is more difficult
How can we determine whether the Markov chain has mixed or not?,"[""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",How to get truly independent samples from Markov chain?,"[""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
Why structured probabilistic models are called graphical models?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",What is independent component analysis?,"[""Involves intricate mathematics"", ""Is about a fundamental concept""]",First question is more difficult
What is the Hadamard product?,"[""Appears early in the book or is otherwise highlighted"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",What is broadcasting?,"[""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves very little or no mathematics""]",They are equally difficult
Why an energy-based model is a special kind of Markov network?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",What is MAP inference?,"[""Involves many prerequisite concepts"", ""Involves intricate mathematics"", ""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",First question is more difficult
Describe the advantages of gradient descent over Newton's method,"[""Involves intricate mathematics"", ""Is about an obscure concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise ""]",What is gradient descent,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",First question is more difficult
What is an infinitely strong prior ?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",What is the difference between linear models and neural network?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
"What is steepest descent, or gradient descent.","[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",How do you define a positive semi-definite matrix?,"[""Appears early in the book or is otherwise highlighted"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",First question is more difficult
How do you use damping to perform block updates in binary sparse coding?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",Describe binary sparse coding model.,"[""Involves intricate mathematics"", ""Is about a fundamental concept""]",First question is more difficult
What is the semantics of structured probabilistic models?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",How do you use damping to perform block updates in binary sparse coding?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",Second question is more difficult
How cross-correlation is related to convolution ?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise ""]",What are the difference between location-based addressing and content-based addressing?,"[""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
What are different generalization of rectified linear unit?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",What is condition number,"[""Involves intricate mathematics"", ""Is about an obscure concept"", ""Involves very little or no mathematics""]",They are equally difficult
What are the ideas behind unsupervised pretraining?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",How does convolutional net is related to a fully connected net?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
What is a key difference between directed modeling and undirected modeling?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",What are the different categories of graphical models?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",First question is more difficult
What is teacher forcing in the context of RNN?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What are different regularization strategies?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",First question is more difficult
What is neural Turing machine?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about an obscure concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Why ESNs and liquid state machines are termed reservoir computing?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Second question is more difficult
Why structured probabilistic models are called graphical models?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What are the different categories of graphical models?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",They are equally difficult
What is a heuristic technique for performing block updates in binary sparse coding?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",Why should we use deterministic approximate algorithms or Monte Carlo algorithms in machine learning?,"[""Involves many prerequisite concepts"", ""Does not involve a lot of prerequisite concepts"", ""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",First question is more difficult
What do the edges in a graphical model indicate?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",What is independent component analysis?,"[""Involves intricate mathematics"", ""Is about a fundamental concept""]",They are equally difficult
What are the difference between location-based addressing and content-based addressing?,"[""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is a structured probabilistic model?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",First question is more difficult
What is the idea behind echo state networks or ESNs and liquid state machines?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Describe a structured probabilistic model or graphical model.,"[""Appears early in the book or is otherwise highlighted"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",First question is more difficult
What is a vector?,"[""Is about a fundamental concept""]",How do you define orthonormality between two vectors?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",They are equally difficult
Why the bidirectional RNNs are called bidirectional?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is independent component analysis?,"[""Involves intricate mathematics"", ""Is about a fundamental concept""]",Second question is more difficult
What are the different categories of graphical models?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",What is a complete graph for an undirected graphical model?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",They are equally difficult
How can you learn the weights of a linear regression model ?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",What is the advantage of deriving the cost function from maximum likelihood for deep neural networks?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Second question is more difficult
Why Poor condition number makes choosing a good step size difficult?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Why parameter sharing is important?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",First question is more difficult
How to produce an output map of similar size as the input in CNN?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",How the linear operations are guaranteed to be commutative in CNN?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",First question is more difficult
What is transfer learning?,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",What is a key difference between directed modeling and undirected modeling?,"[""Involves many prerequisite concepts"", ""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept""]",Second question is more difficult
How to produce an output map of similar size as the input in CNN?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",What is factor analysis?,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",Second question is more difficult
What are the disadvantages of deep belief networks?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Why an energy-based model is a special kind of Markov network?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",They are equally difficult
What is the motivation for probabilistic max pooling?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves many prerequisite concepts""]",How a chordal or triangulated graph is formed?,"[""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Involves very little or no mathematics""]",First question is more difficult
What is a disadvantage of the REINFORCE algorithm?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Do we need to specify a specific parametric form for variational learning?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",First question is more difficult
What is MAP inference?,"[""Involves many prerequisite concepts"", ""Involves intricate mathematics"", ""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",What are frequently referred to in the literature as hallucinations or fantasy particles?,"[""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Involves very little or no mathematics""]",Second question is more difficult
How does convolutional net is related to a fully connected net?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is independent component analysis?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",Second question is more difficult
What is generalization in machine learning ?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",Describe the advantages of gradient descent over Newton's method,"[""Involves intricate mathematics"", ""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Second question is more difficult
Describe stochastic matrices.,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What is broadcasting?,"[""Appears early in the book or is otherwise highlighted"", ""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves very little or no mathematics""]",First question is more difficult
What are the advantages of variational approach?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",What is the difference between Las Vegas and Monte Carlo algorithms?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",They are equally difficult
Why CD has lower variance compared to SML?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Why should we use deterministic approximate algorithms or Monte Carlo algorithms in machine learning?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",They are equally difficult
What is d-separation for directed graphical models?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",What is a factor graph?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",They are equally difficult
"Why pseudolikelihood estimator can not be used with other approximations that provide only a lower bound on˜p(x), such asvariational inference?","[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Describe a structured probabilistic model or graphical model.,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
How does the pseudoinverse of matrix A help in solving Ax = y?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",How model capacity is related to overfitting ?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
How do you define a linear combination of a set of vectors?,"[""Involves intricate mathematics"", ""Is about a fundamental concept""]",How do define the span of a set of vectors?,"[""Involves intricate mathematics"", ""Is about a fundamental concept""]",They are equally difficult
What is a heuristic technique for performing block updates in binary sparse coding?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves many prerequisite concepts""]",How to draw samples from RNN considering it as graphical model?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",They are equally difficult
Why do neural networks struggle to memorize facts whereas they excel at storing implicit knowledge?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What is the advantage of deriving the cost function from maximum likelihood for deep neural networks?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
Why model averaging works?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves very little or no mathematics""]",What does Invariance to translation means ?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Second question is more difficult
What is the core idea of a Markov chain?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",How to get truly independent samples from Markov chain?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",They are equally difficult
What is a heuristic technique for performing block updates in binary sparse coding?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves many prerequisite concepts""]",How do you use damping to perform block updates in binary sparse coding?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves many prerequisite concepts""]",They are equally difficult
What is gradient descent,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",What is second derivative.,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",They are equally difficult
What are some successful applications of Bidirectional recurrent neural networks (or bidirectional RNNs)?,"[""Does not involve a lot of prerequisite concepts"", ""Other"", ""Involves very little or no mathematics""]",Why ESNs and liquid state machines are termed reservoir computing?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Second question is more difficult
What is a complete graph for an undirected graphical model?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",Why parameter sharing is important?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
How to draw samples from RNN considering it as graphical model?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What is a structured probabilistic model?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",First question is more difficult
How to mitigate the problem of high correlation of two successive samples in markov chain monte carlo methods?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",What is the obstracles in knowing whether a Markov chain has mixed or not?,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",They are equally difficult
What is the benefit of sparsity property that is induced by L1 regularization?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",What is the difference between linear models and neural network?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",First question is more difficult
Why locally connected layers are sometimes called as unshared convolution ?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Why deep learning is called deep?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",First question is more difficult
What do the edges in a graphical model indicate?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",How to draw samples from RNN considering it as graphical model?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
What is a vector?,"[""Is about a fundamental concept""]",How do define the span of a set of vectors?,"[""Involves intricate mathematics"", ""Is about a fundamental concept""]",They are equally difficult
How to draw samples from RNN considering it as graphical model?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Why CD is useful for training shallow models but does not provide much help for training deeper models?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",Second question is more difficult
Why should we use deterministic approximate algorithms or Monte Carlo algorithms in machine learning?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What is a structured probabilistic model?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",First question is more difficult
What is second derivative.,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",Why the intermediate layers in a feedforward neural network are called hidden layers?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",Second question is more difficult
What is the benefit of sparsity property that is induced by L1 regularization?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",What are different regularization strategies?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",First question is more difficult
What is broadcasting?,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",What are equality constraints and inequality constraints in generalized Lagrange function?,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",Second question is more difficult
What is generalization in machine learning ?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",What is model capacity in machine learning ?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",They are equally difficult
Why the intermediate layers in a feedforward neural network are called hidden layers?,"[""Involves very little or no mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",What is the relation between maximum likelihood learning and KL divergence?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",Second question is more difficult
What are different types of randomized algorithms?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What is the semantics of structured probabilistic models?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",They are equally difficult
Why CD is useful for training shallow models but does not provide much help for training deeper models?,"[""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is the REINFORCE algorithm?,"[""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",They are equally difficult
Why locally connected layers are sometimes called as unshared convolution ?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Why ESNs and liquid state machines are termed reservoir computing?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
"Why pseudolikelihood estimator can not be used with other approximations that provide only a lower bound on˜p(x), such asvariational inference?","[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Is about an obscure concept""]",What are the use cases of score matching?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",They are equally difficult
What is the advantage of a deep Boltzmann machine over a fully connected Boltzmann machine?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",In what scenario generalized pseudolikelihood techniques are especially powerful?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",They are equally difficult
How do you define orthonormality between two vectors?,"[""Is about a fundamental concept""]",What is gradient descent,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",Second question is more difficult
